Date,Time,Temperature
8/1/2018,12:00:00 AM,23.84
8/1/2018,1:00:00 AM,23.54
8/1/2018,2:00:00 AM,23.32
8/1/2018,3:00:00 AM,22.96
8/1/2018,4:00:00 AM,22.82
8/1/2018,5:00:00 AM,22.66
8/1/2018,6:00:00 AM,22.52
8/1/2018,7:00:00 AM,22.38
8/1/2018,8:00:00 AM,22.36
8/1/2018,9:00:00 AM,22.32
8/1/2018,10:00:00 AM,22.62
8/1/2018,11:00:00 AM,23.18
8/1/2018,12:00:00 PM,24.74
8/1/2018,1:00:00 PM,25.68
8/1/2018,2:00:00 PM,25.94
8/1/2018,3:00:00 PM,26.34
8/1/2018,4:00:00 PM,26.62
8/1/2018,5:00:00 PM,27.16
8/1/2018,6:00:00 PM,27.02
8/1/2018,7:00:00 PM,26.94
8/1/2018,8:00:00 PM,26.66
8/1/2018,9:00:00 PM,25.94
8/1/2018,10:00:00 PM,25.36
8/1/2018,11:00:00 PM,24.92
8/2/2018,12:00:00 AM,24.46
8/2/2018,1:00:00 AM,24.14
8/2/2018,2:00:00 AM,23.62
8/2/2018,3:00:00 AM,23.22
8/2/2018,4:00:00 AM,22.96
8/2/2018,5:00:00 AM,22.8
8/2/2018,6:00:00 AM,22.56
8/2/2018,7:00:00 AM,22.32
8/2/2018,8:00:00 AM,22.3
8/2/2018,9:00:00 AM,22.32
8/2/2018,10:00:00 AM,22.36
8/2/2018,11:00:00 AM,22.94
8/2/2018,12:00:00 PM,24.22
8/2/2018,1:00:00 PM,25.46
8/2/2018,2:00:00 PM,26.48
8/2/2018,3:00:00 PM,27.24
8/2/2018,4:00:00 PM,27.58
8/2/2018,5:00:00 PM,27.94
8/2/2018,6:00:00 PM,27.94
8/2/2018,7:00:00 PM,27.5
8/2/2018,8:00:00 PM,26.84
8/2/2018,9:00:00 PM,26.28
8/2/2018,10:00:00 PM,25.86
8/2/2018,11:00:00 PM,25.48
8/3/2018,12:00:00 AM,25.02
8/3/2018,1:00:00 AM,24.62
8/3/2018,2:00:00 AM,24.34
8/3/2018,3:00:00 AM,24.08
8/3/2018,4:00:00 AM,23.76
8/3/2018,5:00:00 AM,23.44
8/3/2018,6:00:00 AM,23.2
8/3/2018,7:00:00 AM,22.9
8/3/2018,8:00:00 AM,22.78
8/3/2018,9:00:00 AM,22.82
8/3/2018,10:00:00 AM,23.04
8/3/2018,11:00:00 AM,24.76
8/3/2018,12:00:00 PM,24.8
8/3/2018,1:00:00 PM,26.54
8/3/2018,2:00:00 PM,27.72
8/3/2018,3:00:00 PM,28.96
8/3/2018,4:00:00 PM,29.7
8/3/2018,5:00:00 PM,30.3
8/3/2018,6:00:00 PM,30.44
8/3/2018,7:00:00 PM,30.18
8/3/2018,8:00:00 PM,29.42
8/3/2018,9:00:00 PM,28.58
8/3/2018,10:00:00 PM,27.82
8/3/2018,11:00:00 PM,27.1
8/4/2018,12:00:00 AM,26.42
8/4/2018,1:00:00 AM,25.74
8/4/2018,2:00:00 AM,25.2
8/4/2018,3:00:00 AM,24.64
8/4/2018,4:00:00 AM,24.14
8/4/2018,5:00:00 AM,23.72
8/4/2018,6:00:00 AM,23.3
8/4/2018,7:00:00 AM,22.86
8/4/2018,8:00:00 AM,22.62
8/4/2018,9:00:00 AM,22.54
8/4/2018,10:00:00 AM,22.76
8/4/2018,11:00:00 AM,23.14
8/4/2018,12:00:00 PM,24.28
8/4/2018,1:00:00 PM,26.32
8/4/2018,2:00:00 PM,28.04
8/4/2018,3:00:00 PM,29.48
8/4/2018,4:00:00 PM,30.64
8/4/2018,5:00:00 PM,31.26
8/4/2018,6:00:00 PM,31.18
8/4/2018,7:00:00 PM,30.84
8/4/2018,8:00:00 PM,30.1
8/4/2018,9:00:00 PM,29.52
8/4/2018,10:00:00 PM,28.82
8/4/2018,11:00:00 PM,28.18
8/5/2018,12:00:00 AM,27.64
8/5/2018,1:00:00 AM,27.1
8/5/2018,2:00:00 AM,26.64
8/5/2018,3:00:00 AM,26.2
8/5/2018,4:00:00 AM,25.8
8/5/2018,5:00:00 AM,25.42
8/5/2018,6:00:00 AM,25.04
8/5/2018,7:00:00 AM,24.72
8/5/2018,8:00:00 AM,24.56
8/5/2018,9:00:00 AM,24.4
8/5/2018,10:00:00 AM,24.42
8/5/2018,11:00:00 AM,24.8
8/5/2018,12:00:00 PM,26.56
8/5/2018,1:00:00 PM,28.58
8/5/2018,2:00:00 PM,29.66
8/5/2018,3:00:00 PM,30.2
8/5/2018,4:00:00 PM,30.32
8/5/2018,5:00:00 PM,30.54
8/5/2018,6:00:00 PM,30.22
8/5/2018,7:00:00 PM,29.88
8/5/2018,8:00:00 PM,29.3
8/5/2018,9:00:00 PM,28.7
8/5/2018,10:00:00 PM,28.16
8/5/2018,11:00:00 PM,27.66
8/6/2018,12:00:00 AM,27.24
8/6/2018,1:00:00 AM,26.84
8/6/2018,2:00:00 AM,26.48
8/6/2018,3:00:00 AM,26.12
8/6/2018,4:00:00 AM,25.8
8/6/2018,5:00:00 AM,25.54
8/6/2018,6:00:00 AM,25.34
8/6/2018,7:00:00 AM,25.18
8/6/2018,8:00:00 AM,25.08
8/6/2018,9:00:00 AM,25
8/6/2018,10:00:00 AM,24.66
8/6/2018,11:00:00 AM,24.82
8/6/2018,12:00:00 PM,25.62
8/6/2018,1:00:00 PM,26.24
8/6/2018,2:00:00 PM,25.9
8/6/2018,3:00:00 PM,25.7
8/6/2018,4:00:00 PM,25.72
8/6/2018,5:00:00 PM,25.82
8/6/2018,6:00:00 PM,26.02
8/6/2018,7:00:00 PM,26.12
8/6/2018,8:00:00 PM,26
8/6/2018,9:00:00 PM,25.82
8/6/2018,10:00:00 PM,25.6
8/6/2018,11:00:00 PM,25.3
8/7/2018,12:00:00 AM,24.94
8/7/2018,1:00:00 AM,24.64
8/7/2018,2:00:00 AM,24.42
8/7/2018,3:00:00 AM,24.24
8/7/2018,4:00:00 AM,24.12
8/7/2018,5:00:00 AM,23.9
8/7/2018,6:00:00 AM,23.74
8/7/2018,7:00:00 AM,23.56
8/7/2018,8:00:00 AM,23.52
8/7/2018,9:00:00 AM,23.66
8/7/2018,10:00:00 AM,23.86
8/7/2018,11:00:00 AM,24.2
8/7/2018,12:00:00 PM,25.14
8/7/2018,1:00:00 PM,26.66
8/7/2018,2:00:00 PM,27.98
8/7/2018,3:00:00 PM,28.84
8/7/2018,4:00:00 PM,29.18
8/7/2018,5:00:00 PM,29.52
8/7/2018,6:00:00 PM,29.36
8/7/2018,7:00:00 PM,29.04
8/7/2018,8:00:00 PM,28.54
8/7/2018,9:00:00 PM,28.1
8/7/2018,10:00:00 PM,27.58
8/7/2018,11:00:00 PM,27.12
8/8/2018,12:00:00 AM,26.82
8/8/2018,1:00:00 AM,26.28
8/8/2018,2:00:00 AM,25.74
8/8/2018,3:00:00 AM,25.34
8/8/2018,4:00:00 AM,24.84
8/8/2018,5:00:00 AM,24.56
8/8/2018,6:00:00 AM,24.34
8/8/2018,7:00:00 AM,24.18
8/8/2018,8:00:00 AM,23.98
8/8/2018,9:00:00 AM,24.04
8/8/2018,10:00:00 AM,24.36
8/8/2018,11:00:00 AM,24.72
8/8/2018,12:00:00 PM,25.38
8/8/2018,1:00:00 PM,26.24
8/8/2018,2:00:00 PM,27.3
8/8/2018,3:00:00 PM,28.12
8/8/2018,4:00:00 PM,28.88
8/8/2018,5:00:00 PM,29
8/8/2018,6:00:00 PM,29.08
8/8/2018,7:00:00 PM,28.9
8/8/2018,8:00:00 PM,28.62
8/8/2018,9:00:00 PM,28
8/8/2018,10:00:00 PM,27.34
8/8/2018,11:00:00 PM,26.76
8/9/2018,12:00:00 AM,26.24
8/9/2018,1:00:00 AM,25.7
8/9/2018,2:00:00 AM,25.28
8/9/2018,3:00:00 AM,24.84
8/9/2018,4:00:00 AM,24.46
8/9/2018,5:00:00 AM,24.18
8/9/2018,6:00:00 AM,23.88
8/9/2018,7:00:00 AM,23.62
8/9/2018,8:00:00 AM,23.42
8/9/2018,9:00:00 AM,23.44
8/9/2018,10:00:00 AM,23.54
8/9/2018,11:00:00 AM,23.8
8/9/2018,12:00:00 PM,24.86
8/9/2018,1:00:00 PM,26.5
8/9/2018,2:00:00 PM,26.74
8/9/2018,3:00:00 PM,27.04
8/9/2018,4:00:00 PM,27.64
8/9/2018,5:00:00 PM,28.04
8/9/2018,6:00:00 PM,28.28
8/9/2018,7:00:00 PM,28.06
8/9/2018,8:00:00 PM,27.72
8/9/2018,9:00:00 PM,27.38
8/9/2018,10:00:00 PM,27.04
8/9/2018,11:00:00 PM,26.66
8/10/2018,12:00:00 AM,26.36
8/10/2018,1:00:00 AM,26.04
8/10/2018,2:00:00 AM,25.7
8/10/2018,3:00:00 AM,25.36
8/10/2018,4:00:00 AM,25
8/10/2018,5:00:00 AM,24.74
8/10/2018,6:00:00 AM,24.44
8/10/2018,7:00:00 AM,24.2
8/10/2018,8:00:00 AM,24
8/10/2018,9:00:00 AM,23.96
8/10/2018,10:00:00 AM,24.14
8/10/2018,11:00:00 AM,24.3
8/10/2018,12:00:00 PM,25.14
8/10/2018,1:00:00 PM,26.68
8/10/2018,2:00:00 PM,28.08
8/10/2018,3:00:00 PM,29.2
8/10/2018,4:00:00 PM,29.84
8/10/2018,5:00:00 PM,30.18
8/10/2018,6:00:00 PM,30.24
8/10/2018,7:00:00 PM,29.88
8/10/2018,8:00:00 PM,29.14
8/10/2018,9:00:00 PM,28.42
8/10/2018,10:00:00 PM,27.78
8/10/2018,11:00:00 PM,27.22
8/11/2018,12:00:00 AM,26.7
8/11/2018,1:00:00 AM,26.2
8/11/2018,2:00:00 AM,25.74
8/11/2018,3:00:00 AM,25.3
8/11/2018,4:00:00 AM,24.92
8/11/2018,5:00:00 AM,24.52
8/11/2018,6:00:00 AM,24.18
8/11/2018,7:00:00 AM,23.84
8/11/2018,8:00:00 AM,23.58
8/11/2018,9:00:00 AM,23.5
8/11/2018,10:00:00 AM,23.6
8/11/2018,11:00:00 AM,23.86
8/11/2018,12:00:00 PM,24.48
8/11/2018,1:00:00 PM,25.66
8/11/2018,2:00:00 PM,26.88
8/11/2018,3:00:00 PM,27.02
8/11/2018,4:00:00 PM,27.34
8/11/2018,5:00:00 PM,27.56
8/11/2018,6:00:00 PM,27.66
8/11/2018,7:00:00 PM,27.64
8/11/2018,8:00:00 PM,27.38
8/11/2018,9:00:00 PM,26.98
8/11/2018,10:00:00 PM,26.62
8/11/2018,11:00:00 PM,26.3
8/12/2018,12:00:00 AM,25.96
8/12/2018,1:00:00 AM,25.62
8/12/2018,2:00:00 AM,25.3
8/12/2018,3:00:00 AM,25
8/12/2018,4:00:00 AM,24.68
8/12/2018,5:00:00 AM,24.38
8/12/2018,6:00:00 AM,24.12
8/12/2018,7:00:00 AM,23.78
8/12/2018,8:00:00 AM,23.58
8/12/2018,9:00:00 AM,23.44
8/12/2018,10:00:00 AM,23.48
8/12/2018,11:00:00 AM,23.68
