SampleID,pig,sample_type,bone_type,date_collected,Year,Season,date_decontaminated,date_extracted,date_qubit,qubit_conc,stock_conc,DNA_sample_vol,H20_vol,date_pcr,date_diluted,date_submitted
SFK001,1,external_microbiome,rib,8/20/2018,1,Summer,6/2/2020,6/3/2020,6/3/2020,3.22,0.611,10,0,6/4/2020,7/15/2020,8/14/2020
SFK002,1,external_microbiome,rib,10/25/2018,1,Fall,6/2/2020,6/3/2020,6/3/2020,73,14.6,1.4,18.6,6/4/2020,6/23/2020,8/14/2020
SFK003,1,external_microbiome,vertebrate,1/22/2019,1,Winter,6/2/2020,6/3/2020,6/3/2020,175,35,1.4,48.6,6/4/2020,6/23/2020,NA
SFK004,1,external_microbiome,leg_bone,4/23/2019,1,Spring,6/2/2020,6/3/2020,6/3/2020,113,22.6,2.2,47.8,6/4/2020,6/23/2020,8/14/2020
SFK005,1,external_microbiome,rib,7/26/2019,2,Summer,6/2/2020,6/3/2020,6/3/2020,124,24.8,2,48,6/4/2020,6/23/2020,NA
SFK006,1,internal_microbiome,rib,8/20/2018,1,Summer,6/2/2020,6/3/2020,6/3/2020,1.36,0.272,10,0,6/4/2020,7/15/2020,8/14/2020
SFK007,1,internal_microbiome,rib,10/25/2018,1,Fall,6/2/2020,6/3/2020,6/3/2020,11.6,2.32,4.3,5.7,6/4/2020,7/15/2020,8/14/2020
SFK008,1,internal_microbiome,vertebrate,1/22/2019,1,Winter,6/2/2020,6/3/2020,6/3/2020,17.8,3.56,2.8,7.2,6/4/2020,7/15/2020,8/14/2020
SFK009,1,internal_microbiome,leg_bone,4/23/2019,1,Spring,6/2/2020,6/3/2020,6/3/2020,5.24,1.05,9.5,0.5,6/4/2020,7/15/2020,8/14/2020
SFK010,1,internal_microbiome,rib,7/26/2019,2,Summer,6/2/2020,6/3/2020,6/3/2020,17.8,3.56,2.8,7.2,6/4/2020,7/15/2020,8/14/2020
SFK011,0,positive_control,buccal,6/3/2020,0,0,0,6/3/2020,6/3/2020,126,25.2,2,48,6/4/2020,7/15/2020,8/14/2020
SFK012,0,negative_control,extraction_neg_con,6/3/2020,0,0,0,6/3/2020,6/3/2020,0,0,10,0,6/4/2020,7/15/2020,8/14/2020
SFK013,0,positive_control,pcr_positive (SFK001 sample from EN sample set 11/13/2019),6/4/2020,0,0,0,NA,NA,NA,NA,NA,NA,6/4/2020,NA,NA
SFK014,0,negative_control,pcr_negative,6/4/2020,0,0,0,NA,NA,NA,NA,NA,NA,6/4/2020,NA,NA
SFK015,5,external_microbiome,rib,8/20/2018,1,Summer,6/22/2020,6/23/2020,6/23/2020,25.8,5.16,1.9,8.1,7/4/2020,7/15/2020,8/14/2020
SFK016,3,external_microbiome,rib,10/25/2018,1,Fall,6/22/2020,6/23/2020,6/23/2020,31.1,6.22,1.6,8.4,7/4/2020,7/15/2020,8/14/2020
SFK017,2,external_microbiome,rib,1/22/2019,1,Winter,6/22/2020,6/23/2020,6/23/2020,50.8,10.2,1,9,7/4/2020,7/15/2020,8/14/2020
SFK018,3,external_microbiome,leg_bone,4/23/2019,1,Spring,6/22/2020,6/23/2020,6/23/2020,124,24.8,2,48,7/4/2020,7/4/2020,NA
SFK019,4,external_microbiome,rib,7/26/2019,2,Summer,6/22/2020,6/23/2020,6/23/2020,78.1,15.6,1.3,18.7,7/4/2020,7/4/2020,NA
SFK020,5,internal_microbiome,rib,8/20/2018,1,Summer,6/22/2020,6/23/2020,6/23/2020,7.31,1.46,6.8,3.2,7/4/2020,7/15/2020,8/14/2020
SFK021,3,internal_microbiome,rib,10/25/2018,1,Fall,6/22/2020,6/23/2020,6/23/2020,9.04,1.81,5.5,4.5,7/4/2020,7/15/2020,8/14/2020
SFK022,2,internal_microbiome,rib,1/22/2019,1,Winter,6/22/2020,6/23/2020,6/23/2020,4.77,0.954,10,0,7/4/2020,7/15/2020,8/14/2020
SFK023,3,internal_microbiome,leg_bone,4/23/2019,1,Spring,6/22/2020,6/23/2020,6/23/2020,3.92,0.784,10,0,7/4/2020,7/15/2020,8/14/2020
SFK024,4,internal_microbiome,rib,7/26/2019,2,Summer,6/22/2020,6/23/2020,6/23/2020,22.7,4.54,2.2,7.8,7/4/2020,7/15/2020,8/14/2020
SFK025,0,positive_control,buccal,6/23/2020,0,0,0,6/23/2020,6/23/2020,59.8,12,1.7,18.3,7/4/2020,7/15/2020,8/14/2020
SFK026,0,negative_control,extraction_neg_con,6/23/2020,0,0,0,6/23/2020,6/23/2020,0,0,10,0,7/4/2020,7/15/2020,8/14/2020
SFK027,3,external_microbiome,rib,1/22/2019,1,Winter,6/24/2020,6/25/2020,6/25/2020,35.6,7.12,1.4,8.6,6/26/2020,7/15/2020,8/14/2020
SFK028,4,external_microbiome,rib,4/23/2019,1,Spring,6/24/2020,6/25/2020,6/25/2020,28.3,5.66,1.8,8.2,6/26/2020,7/15/2020,NA
SFK029,5,external_microbiome,rib,7/26/2019,2,Summer,6/24/2020,6/25/2020,6/25/2020,71.1,14.2,1.4,18.6,6/26/2020,6/26/2020,NA
SFK030,5,external_microbiome,rib,10/26/2019,2,Fall,6/24/2020,6/25/2020,6/25/2020,39.6,7.92,1.3,8.7,6/26/2020,7/15/2020,8/14/2020
SFK031,3,external_microbiome,vertebrate,1/24/2020,2,Winter,6/24/2020,6/25/2020,6/25/2020,45.8,9.16,1.1,8.9,6/26/2020,7/15/2020,NA
SFK032,3,internal_microbiome,rib,1/22/2019,1,Winter,6/24/2020,6/25/2020,6/25/2020,20.5,4.1,2.4,7.6,6/26/2020,7/15/2020,8/14/2020
SFK033,4,internal_microbiome,rib,4/23/2019,1,Spring,6/24/2020,6/25/2020,6/25/2020,16.3,3.26,3.1,6.9,6/26/2020,7/15/2020,8/14/2020
