OTUID,sfk_lg_0001,sfk_lg_0002,sfk_lg_0004,sfk_lg_0006,sfk_lg_0007,sfk_lg_0008,sfk_lg_0009,sfk_lg_0010,sfk_lg_0011,sfk_lg_0012,sfk_lg_0015,sfk_lg_0016,sfk_lg_0017,sfk_lg_0020,sfk_lg_0021,sfk_lg_0022,sfk_lg_0023,sfk_lg_0024,sfk_lg_0027,sfk_lg_0030,sfk_lg_0032,sfk_lg_0033,sfk_lg_0034,sfk_lg_0035,sfk_lg_0036,sfk_lg_0037,sfk_lg_0038,sfk_lg_0041,sfk_lg_0042,sfk_lg_0043,sfk_lg_0044,sfk_lg_0046,sfk_lg_0047,sfk_lg_0048,sfk_lg_0049,sfk_lg_0050,sfk_lg_0053,sfk_lg_0054,sfk_lg_0057,sfk_lg_0058,sfk_lg_0059,sfk_lg_0060,sfk_lg_0061,sfk_lg_0062,sfk_lg_0063,sfk_lg_0064,sfk_lg_0067,sfk_lg_0070,sfk_lg_0071,sfk_lg_0072,sfk_lg_0073,sfk_lg_0074,sfk_lg_0078,sfk_lg_0079,sfk_lg_0080,sfk_lg_0081,sfk_lg_0083,sfk_lg_0084,sfk_lg_0085,sfk_lg_0086,sfk_lg_0089,sfk_lg_0090,sfk_lg_0091,sfk_lg_0092,sfk_lg_0093,sfk_lg_0094,sfk_lg_0095,sfk_lg_0096,sfk_lg_0097,sfk_lg_0098,sfk_lg_0099
095b5d68f563b16f151c6aef3a8006d7,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694637babb17f4544f34329b7d27f58d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0
149ccb89b2dc1cf01ad234653fc614d5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
e7e31b67eef3d59a7146c38e14067726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
144bc5dde962a40e37356c7dba7713f9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d3ef6a3d90abaf94361f25fa2a8aaa2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ac645e6686395dd9e3a90815164be6c9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
960f8dd84435e7d6ef28adc0ea959921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
79c6a8da4a8681eab51ddc7350cd82df,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c77591ae0f50337a81ab5fc16a18b2c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
