OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
c534d8b5ac04c841860d648bd50a49b6,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,RuminococcaceaeUCG-014,Unassigned
83e0fa14a2f10676585e5e12c28d6f8a,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324clade(MarinegroupB),unculturedbacteriumzdt-33i5,unculturedbacteriumzdt-33i5,unculturedbacteriumzdt-33i5
7a4e6b5b4a6011c470acc6f038318817,Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas,Unassigned
5da52e00074a66f884475eb16f2a4d31,Bacteria,Firmicutes,Clostridia,Clostridiales,FamilyXI,Peptoniphilus,Unassigned
aa80f9915f4cc1c3dd1ece03d8cdf360,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroidescoprosuis
28ccc4ff38640a986450539e09cfc99a,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Unassigned
aca93b983bfed8152a27cdcbdf50ca33,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Pythiuminsidiosum,Pythiuminsidiosum
5c664a2c162271deb11541a9030ac243,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae1,Clostridiumsensustricto1,Unassigned
066cca35b99f0111aa04f40d62527f2b,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Rhodocyclus,unculturedbacterium
e1cc447cf0b384cd753eac24a036e6cd,Bacteria,Firmicutes,Clostridia,Clostridiales,FamilyXI,Unassigned,Unassigned
67ca78638e95eca768c0c1da3c96761a,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,Rhodopseudomonaspalustris
0b73bcad06416470449fa775c4e2c0b7,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,RuminococcaceaeNK4A214group,unculturedFirmicutesbacterium
04edaa963304c466674c30f9f9bb087e,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Paeniclostridium,Unassigned
f4206b8c3d4e8f3bd54f960952e0f6be,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae1,Hathewaya,Hathewayalimosa
2953ea2da050d8f774c1581ad02dfc97,Bacteria,Firmicutes,Clostridia,Clostridiales,FamilyXI,Peptoniphilus,swinemanurebacterium37-5
0cea7546543d60f47163f4ffffc79362,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,Unassigned
30778e9f7ef6db778c30a45e4ece47a8,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,uncultured,unculturedbacterium
40a871dd7ec1c44386128af2f352d393,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae1,Clostridiumsensustricto7,Unassigned
06f825b512d903b9230e1a55d87359ee,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Unassigned
98f49c75988e4d0fd97a180db1678fc8,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,Unassigned
85c44c83eddc5d3028261a1000b7d0e1,Bacteria,Firmicutes,Bacilli,Bacillales,FamilyXI,Gemella,Unassigned
8424b80f51317089fa9808c4d1190bee,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Unassigned,Unassigned
ac74eb9e18ab45ed560fe7ad979e3b0f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Unassigned,Unassigned
4b4efbf123a471f2a02ef2f0ac467b72,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,RuminococcaceaeNK4A214group,unculturedFirmicutesbacterium
5ddacc6cd85aef988ad50341e15d2c43,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae1,Clostridiumsensustricto12,unculturedbacterium
f8ee803d5b739817b30509d1fb0fa1a3,Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas,Unassigned
2574cf9fe6f3509d1b741283b975ae8e,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Propionivibrio,Unassigned
a2a7a72d79b806cdf37962ba599cde39,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Unassigned,Unassigned
50997d1e6c398e7abaceb666004a2456,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Geothrix,Unassigned
e601d5aa57f21cbae95b7d4ddd1bd8d6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unculturedprokaryote
b8b81003798bd588609b0c3d48db404b,Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas,Unassigned
f57faee4806e56bde1e516c6b8bec27e,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,uncultured,Unassigned
d04205f891ddbc12319625dc43a5c369,Bacteria,Elusimicrobia,Endomicrobia,Endomicrobiales,Endomicrobiaceae,CandidatusEndomicrobium,unculturedbacterium
40cfa30f0aacaa22dc0598a6f1c01528,Bacteria,Patescibacteria,Parcubacteria,CandidatusWolfebacteria,unculturedbacterium,unculturedbacterium,unculturedbacterium
42e3b2620218e41ba4e09ee64b3344a7,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Unassigned,Unassigned
