OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
c534d8b5ac04c841860d648bd50a49b6,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Ruminococcaceae,D_5__RuminococcaceaeUCG-014,
83e0fa14a2f10676585e5e12c28d6f8a,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__SAR324clade(MarinegroupB),D_4__unculturedbacteriumzdt-33i5,D_5__unculturedbacteriumzdt-33i5,D_6__unculturedbacteriumzdt-33i5
7a4e6b5b4a6011c470acc6f038318817,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Syntrophomonadaceae,D_5__Syntrophomonas,
5da52e00074a66f884475eb16f2a4d31,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__FamilyXI,D_5__Peptoniphilus,
aa80f9915f4cc1c3dd1ece03d8cdf360,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__Bacteroidaceae,D_5__Bacteroides,D_6__Bacteroidescoprosuis
28ccc4ff38640a986450539e09cfc99a,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__Bacteroidaceae,D_5__Bacteroides,
aca93b983bfed8152a27cdcbdf50ca33,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rickettsiales,D_4__Mitochondria,D_5__Pythiuminsidiosum,D_6__Pythiuminsidiosum
5c664a2c162271deb11541a9030ac243,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Clostridiaceae1,D_5__Clostridiumsensustricto1,
066cca35b99f0111aa04f40d62527f2b,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__Rhodocyclaceae,D_5__Rhodocyclus,D_6__unculturedbacterium
e1cc447cf0b384cd753eac24a036e6cd,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__FamilyXI,,
67ca78638e95eca768c0c1da3c96761a,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__Rhodopseudomonas,D_6__Rhodopseudomonaspalustris
0b73bcad06416470449fa775c4e2c0b7,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Ruminococcaceae,D_5__RuminococcaceaeNK4A214group,D_6__unculturedFirmicutesbacterium
04edaa963304c466674c30f9f9bb087e,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Peptostreptococcaceae,D_5__Paeniclostridium,
f4206b8c3d4e8f3bd54f960952e0f6be,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Clostridiaceae1,D_5__Hathewaya,D_6__Hathewayalimosa
2953ea2da050d8f774c1581ad02dfc97,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__FamilyXI,D_5__Peptoniphilus,D_6__swinemanurebacterium37-5
0cea7546543d60f47163f4ffffc79362,D_0__Archaea,D_1__Euryarchaeota,D_2__Methanomicrobia,D_3__Methanomicrobiales,D_4__Methanoregulaceae,D_5__Methanoregula,
30778e9f7ef6db778c30a45e4ece47a8,D_0__Bacteria,D_1__Spirochaetes,D_2__Spirochaetia,D_3__Spirochaetales,D_4__Spirochaetaceae,D_5__uncultured,D_6__unculturedbacterium
40a871dd7ec1c44386128af2f352d393,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Clostridiaceae1,D_5__Clostridiumsensustricto7,
06f825b512d903b9230e1a55d87359ee,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Lactobacillales,D_4__Streptococcaceae,D_5__Streptococcus,
98f49c75988e4d0fd97a180db1678fc8,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__Burkholderiaceae,D_5__Undibacterium,
85c44c83eddc5d3028261a1000b7d0e1,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__FamilyXI,D_5__Gemella,
8424b80f51317089fa9808c4d1190bee,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Holophagales,D_4__Holophagaceae,,
ac74eb9e18ab45ed560fe7ad979e3b0f,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhodobacterales,D_4__Rhodobacteraceae,,
4b4efbf123a471f2a02ef2f0ac467b72,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Ruminococcaceae,D_5__RuminococcaceaeNK4A214group,D_6__unculturedFirmicutesbacterium
5ddacc6cd85aef988ad50341e15d2c43,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Clostridiaceae1,D_5__Clostridiumsensustricto12,D_6__unculturedbacterium
f8ee803d5b739817b30509d1fb0fa1a3,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Syntrophomonadaceae,D_5__Syntrophomonas,
2574cf9fe6f3509d1b741283b975ae8e,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__Rhodocyclaceae,D_5__Propionivibrio,
a2a7a72d79b806cdf37962ba599cde39,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Holophagales,D_4__Holophagaceae,,
50997d1e6c398e7abaceb666004a2456,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Holophagales,D_4__Holophagaceae,D_5__Geothrix,
e601d5aa57f21cbae95b7d4ddd1bd8d6,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__Bacteroidaceae,D_5__Bacteroides,D_6__unculturedprokaryote
b8b81003798bd588609b0c3d48db404b,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Syntrophomonadaceae,D_5__Syntrophomonas,
f57faee4806e56bde1e516c6b8bec27e,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Holophagales,D_4__Holophagaceae,D_5__uncultured,
d04205f891ddbc12319625dc43a5c369,D_0__Bacteria,D_1__Elusimicrobia,D_2__Endomicrobia,D_3__Endomicrobiales,D_4__Endomicrobiaceae,D_5__CandidatusEndomicrobium,D_6__unculturedbacterium
40cfa30f0aacaa22dc0598a6f1c01528,D_0__Bacteria,D_1__Patescibacteria,D_2__Parcubacteria,D_3__CandidatusWolfebacteria,D_4__unculturedbacterium,D_5__unculturedbacterium,D_6__unculturedbacterium
42e3b2620218e41ba4e09ee64b3344a7,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__Burkholderiaceae,,
ae0767cc955894a696c1947212360670,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Ruminococcaceae,D_5__[Eubacterium]coprostanoligenesgroup,
2c406f4cbd77fcdf8db6fc01fb8788f6,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Holophagales,D_4__Holophagaceae,D_5__uncultured,D_6__unculturedAcidobacteriaceaebacterium
38c27ceaed634984c1225a82648cf571,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pseudomonadales,D_4__Pseudomonadaceae,D_5__Pseudomonas,
b5a4ea490d99c5b7bfdd41b5d45c3906,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__FamilyXI,D_5__Helcococcus,
c2ebfcd5e2495640fa14df3c10280e06,D_0__Bacteria,D_1__Spirochaetes,D_2__Spirochaetia,D_3__Spirochaetales,D_4__Spirochaetaceae,D_5__uncultured,D_6__unculturedbacterium
b3a97da5d7936225fda5654ccfdb98f5,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__FamilyXI,D_5__Anaerosalibacter,
