Community,TimePoint_1,TimePoint_2,Time_Compare,Pig,Compare,Sample Type,Contribution
Microbiome,1,2,1.2,1,Comp1,Internal,0.10544
Microbiome,1,3,1.3,1,Other1,Internal,0.09352
Microbiome,1,4,1.4,1,Other1,Internal,0.07618
Microbiome,1,5,1.5,1,Other1,Internal,0.08908
Microbiome,1,6,1.6,1,Other1,Internal,0.01677
Microbiome,1,7,1.7,1,Other1,Internal,0.01160
Microbiome,1,2,1.2,2,Comp1,Internal,0.02125
Microbiome,1,3,1.3,2,Other1,Internal,0.24111
Microbiome,1,4,1.4,2,Other1,Internal,0.20910
Microbiome,1,5,1.5,2,Other1,Internal,0.06186
Microbiome,1,6,1.6,2,Other1,Internal,0.19629
Microbiome,1,7,1.7,2,Other1,Internal,0.00766
Microbiome,1,2,1.2,3,Comp1,Internal,0.04366
Microbiome,1,3,1.3,3,Other1,Internal,0.07173
Microbiome,1,4,1.4,3,Other1,Internal,0.32242
Microbiome,1,5,1.5,3,Other1,Internal,0.10056
Microbiome,1,6,1.6,3,Other1,Internal,0.11122
Microbiome,1,7,1.7,3,Other1,Internal,0.20157
Microbiome,1,2,1.2,4,Comp1,Internal,0.23529
Microbiome,1,3,1.3,4,Other1,Internal,0.31460
Microbiome,1,5,1.5,4,Other1,Internal,0.23929
Microbiome,1,6,1.6,4,Other1,Internal,0.09948
Microbiome,1,7,1.7,4,Other1,Internal,0.14595
Microbiome,1,2,1.2,5,Comp1,Internal,0.05392
Microbiome,1,4,1.4,5,Other1,Internal,0.20271
Microbiome,1,5,1.5,5,Other1,Internal,0.12992
Microbiome,1,6,1.6,5,Other1,Internal,0.00340
Microbiome,1,7,1.7,5,Other1,Internal,0.00850
Microbiome,2,1,2.1,1,Other2,Internal,0.13577
Microbiome,2,3,2.3,1,Comp2,Internal,0.53813
Microbiome,2,4,2.4,1,Other2,Internal,0.75590
Microbiome,2,5,2.5,1,Other2,Internal,0.57599
Microbiome,2,6,2.6,1,Other2,Internal,0.22096
Microbiome,2,7,2.7,1,Other2,Internal,0.25658
Microbiome,2,1,2.1,2,Other2,Internal,0.01250
Microbiome,2,3,2.3,2,Comp2,Internal,0.05071
Microbiome,2,4,2.4,2,Other2,Internal,0.29382
Microbiome,2,5,2.5,2,Other2,Internal,0.54861
Microbiome,2,6,2.6,2,Other2,Internal,0.08024
Microbiome,2,7,2.7,2,Other2,Internal,0.04400
Microbiome,2,1,2.1,3,Other2,Internal,0.01316
Microbiome,2,3,2.3,3,Comp2,Internal,0.17489
Microbiome,2,4,2.4,3,Other2,Internal,0.00176
Microbiome,2,5,2.5,3,Other2,Internal,0.41763
Microbiome,2,6,2.6,3,Other2,Internal,0.04648
Microbiome,2,7,2.7,3,Other2,Internal,0.03871
Microbiome,3,1,3.1,1,Other3,Internal,0.17501
Microbiome,3,2,3.2,1,Other3,Internal,0.29042
Microbiome,3,4,3.4,1,Comp3,Internal,0.41385
Microbiome,3,5,3.5,1,Other3,Internal,0.32445
Microbiome,3,6,3.6,1,Other3,Internal,0.18070
Microbiome,3,7,3.7,1,Other3,Internal,0.16470
Microbiome,3,1,3.1,2,Other3,Internal,0.05545
Microbiome,3,2,3.2,2,Other3,Internal,0.27314
Microbiome,3,4,3.4,2,Comp3,Internal,0.45367
Microbiome,3,5,3.5,2,Other3,Internal,0.19301
Microbiome,3,6,3.6,2,Other3,Internal,0.07556
Microbiome,3,7,3.7,2,Other3,Internal,0.06276
Microbiome,3,1,3.1,3,Other3,Internal,0.17025
Microbiome,3,2,3.2,3,Other3,Internal,0.43962
Microbiome,3,4,3.4,3,Comp3,Internal,0.25990
Microbiome,3,5,3.5,3,Other3,Internal,0.44326
Microbiome,3,6,3.6,3,Other3,Internal,0.31866
Microbiome,3,7,3.7,3,Other3,Internal,0.53179
Microbiome,4,1,4.1,1,Other4,Internal,0.05515
Microbiome,4,2,4.2,1,Other4,Internal,0.75698
Microbiome,4,3,4.3,1,Other4,Internal,0.58854
Microbiome,4,5,4.5,1,Comp4,Internal,0.53026
Microbiome,4,6,4.6,1,Other4,Internal,0.19494
Microbiome,4,7,4.7,1,Other4,Internal,0.18881
Microbiome,4,1,4.1,2,Other4,Internal,0.12403
Microbiome,4,2,4.2,2,Other4,Internal,0.62946
Microbiome,4,3,4.3,2,Other4,Internal,0.67801
Microbiome,4,5,4.5,2,Comp4,Internal,0.77514
Microbiome,4,6,4.6,2,Other4,Internal,0.44624
Microbiome,4,7,4.7,2,Other4,Internal,0.07921
Microbiome,4,1,4.1,3,Other4,Internal,0.38473
Microbiome,4,2,4.2,3,Other4,Internal,0.06713
Microbiome,4,3,4.3,3,Other4,Internal,0.09129
Microbiome,4,5,4.5,3,Comp4,Internal,0.16205
Microbiome,4,6,4.6,3,Other4,Internal,0.16616
Microbiome,4,7,4.7,3,Other4,Internal,0.24239
Microbiome,4,1,4.1,4,Other4,Internal,0.32537
Microbiome,4,2,4.2,4,Other4,Internal,0.62729
Microbiome,4,5,4.5,4,Comp4,Internal,0.36693
Microbiome,4,6,4.6,4,Other4,Internal,0.13582
Microbiome,4,7,4.7,4,Other4,Internal,0.11302
Microbiome,4,1,4.1,5,Other4,Internal,0.07491
Microbiome,4,2,4.2,5,Other4,Internal,0.06100
Microbiome,4,5,4.5,5,Comp4,Internal,0.14752
Microbiome,4,6,4.6,5,Other4,Internal,0.01222
Microbiome,4,7,4.7,5,Other4,Internal,0.02549
Microbiome,5,1,5.1,1,Other5,Internal,0.12916
Microbiome,5,2,5.2,1,Other5,Internal,0.56982
Microbiome,5,3,5.3,1,Other5,Internal,0.52298
Microbiome,5,4,5.4,1,Other5,Internal,0.46313
Microbiome,5,6,5.6,1,Comp5,Internal,0.50271
